id,state,category,question,optionA,optionB,optionC,optionD,correctIndex,correctAnswer
CA-020,CA,duiStateLaws,"What is the BAC limit for drivers under 21 in California?","0.02%","0.05%","0.04%","0.01%",3,D
CA-021,CA,duiStateLaws,"What is the BAC limit for commercial and rideshare drivers in California?","0.04%","0.08%","0.02%","0.06%",0,A
CA-022,CA,duiStateLaws,"What does California's implied consent law mean for drivers?","Can refuse any BAC test","Consent to testing if arrested","Must give verbal consent","Can choose which test to take",1,B
CA-023,CA,duiStateLaws,"What happens if you refuse a chemical test after a DUI arrest in California?","No penalty if it's your first refusal","Just a monetary fine penalty","Automatic license suspension","Court appearance required only",2,C
CA-024,CA,duiStateLaws,"What device may California require DUI offenders to install in their vehicle?","GPS tracking device","Speed limiting device","Alcohol detection sensor","Ignition interlock device",3,D
CA-025,CA,duiStateLaws,"What does zero-tolerance for underage DUI mean in California?","No alcohol in system","Zero traffic violations allowed","No second chances are given","Zero points on driving record",0,A
CA-026,CA,duiStateLaws,"What is considered an aggravating factor in California DUI cases?","Driving vehicle alone","Minors in vehicle","Driving during daytime hours","Using GPS while driving",1,B
CA-027,CA,insurance,"What type of insurance system does California use?","No-fault system","Hybrid system","At-fault system","Shared fault system",2,C
CA-028,CA,insurance,"What does liability insurance primarily cover in California?","Your own vehicle repairs","Your own medical bills","Your own property damage","Damages you cause to others",3,D
CA-029,CA,insurance,"Why is auto insurance mandatory in California?","Ensures payment for damages caused","To protect the insurance companies","To fund state highway projects","To reduce traffic congestion",0,A
CA-030,CA,insurance,"What are potential consequences of driving uninsured in California?","Warning only","License suspension and fines","Increased registration fees only","Mandatory traffic school only",1,B
CA-031,CA,stateUnique,"Is lane splitting by motorcycles legal in California?","No, it's illegal everywhere","Only on highway roads","Yes, California allows it","Only in emergency situations",2,C
CA-032,CA,stateUnique,"How many occupants are typically required to use California HOV carpool lanes?","3 or more occupants","4 or more occupants","1 occupant in an electric vehicle","2 or more occupants",3,D
CA-033,CA,stateUnique,"How often are smog checks required for most vehicles in California?","Every two years","Every year","Every three years","Every four years",0,A
CA-034,CA,stateUnique,"When can you cross the solid lines marking an HOV lane in California?","Anytime if traffic is safe","At dashed-line entry/exit areas","During non-peak traffic hours","Never under any circumstances",1,B
CA-035,CA,stateUnique,"Which vehicles are exempt from California's smog check requirement?","Vehicles less than 5 years old","All hybrid electric vehicles","Vehicles 8 model years and newer","All diesel engine vehicles",2,C
CA-036,CA,stateUnique,"According to California Highway Patrol guidelines, what is the recommended maximum speed for safe lane splitting?","Traffic moving faster than 40 mph","Traffic moving faster than 50 mph","Going 15+ mph faster than traffic flow","Traffic ≤30 mph, within 10 mph difference",3,D
CA-037,CA,stateUnique,"Can motorcycles use California HOV lanes regardless of occupancy?","Yes, exempt from HOV rules","No, must have passenger","Only during peak traffic hours","Only certain highway types",0,A
CA-038,CA,stateUnique,"What happened to California's Clean Air Vehicle decal program for HOV lanes?","It was extended indefinitely","It expired on September 30, 2025","It was expanded to more vehicles","It only applies to new vehicles",1,B
CA-039,CA,stateUnique,"How recently must a vehicle have passed a smog check for a private sale in California?","Within the last 6 months","Within the last year","Within the last 90 days","Within the last 30 days",2,C
CA-040,CA,stateUnique,"What is illegal for drivers to do when a motorcycle is lane splitting in California?","Honk your vehicle horn","Change lanes slowly carefully","Use your side mirrors","Block or impede them",3,D
CO-001,CO,gdlLicensing,"How long must a Colorado teen hold a learner's permit before applying for a driver's license?","12 months","6 months","9 months","18 months",0,A
CO-002,CO,gdlLicensing,"What driver education requirement applies to Colorado teens aged 15 to 15½ years old?","4-hour driver awareness class","30-hour driver education course","No formal requirement needed","12-hour online course option",1,B
CO-003,CO,gdlLicensing,"How many hours of supervised driving practice must Colorado teens log before getting a license?","40 hours total practice time","60 hours total practice time","50 hours, including 10 at night","30 hours total practice time",2,C
CO-004,CO,gdlLicensing,"During which hours are Colorado minor license holders prohibited from driving alone?","11 PM to 5 AM daily","10 PM to 6 AM daily","9 PM to 5 AM nightly","Midnight to 5 AM",3,D
CO-005,CO,gdlLicensing,"Until what age is a Colorado minor driver's license valid?","20 days after turning 21","Until their 21st birthday","Until their 20th birthday","Until their 18th birthday",0,A
CO-006,CO,gdlLicensing,"Who must supervise Colorado permit holders during their logged driving hours?","Any currently licensed driver over age 21","Parent/guardian who signed affidavit or alternate","Any licensed adult driver over age 25 years","Professional driving instructor only approved",1,B
CO-007,CO,gdlLicensing,"What must Colorado teens under 16½ complete to get their driver's license?","100 hours of supervised practice","Advanced driving course program","Approved behind-the-wheel training","Defensive driving course program",2,C
CO-008,CO,gdlLicensing,"What education option can Colorado teens aged 15½ to 16 choose instead of the full driver education course?","Online practice tests option only","Parent-taught program alternative","No alternative option available","4-hour driver awareness class",3,D
CO-009,CO,gdlLicensing,"Can Colorado minor license holders use cell phones while driving?","No cell phone use allowed","Yes, but only hands-free","Yes, for navigation only","Yes, if over 17",0,A
CO-010,CO,gdlLicensing,"What must Colorado teens bring to the DMV when applying for a learner's permit?","Only their birth certificate document only","Parent/guardian to sign Affidavit of Liability","Proof of vehicle ownership documents required","High school transcripts and academic records",1,B
CO-011,CO,gdlLicensing,"What is the minimum age to apply for a learner's permit in Colorado?","14 years old","14½ years old","15 years old","15½ years old",2,C
CO-012,CO,gdlLicensing,"Do Colorado teens aged 16 and older need to complete driver education before getting a permit?","No, formal education is not required","Yes, 30-hour course required","Yes, 4-hour class required","Only if under 16½",3,D
CO-013,CO,cellPhone,"When did Colorado's hands-free law prohibiting holding phones while driving take effect?","January 1, 2025","September 1, 2024","July 1, 2025","January 1, 2024",0,A
CO-014,CO,cellPhone,"How can Colorado drivers legally use their phones while driving?","By holding phone at red lights only","With hands-free accessories like Bluetooth","By placing phone on their lap to dial","By using built-in speakerphone mode",1,B
CO-015,CO,cellPhone,"Is holding a phone to your ear while stopped at a red light legal in Colorado?","Yes, when stopped it's allowed for calls","Yes, but only briefly for quick calls","No, holding phones at signals is prohibited","Only if the call is urgent or emergency",2,C
CO-016,CO,cellPhone,"What type of offense is Colorado's hands-free cell phone violation?","Primary offense","Criminal offense","Moving violation","Secondary offense",3,D
CO-017,CO,cellPhone,"When is it legal to use a handheld phone while driving in Colorado?","To report emergencies to 911","In private parking lots only","At stop signs while stopped","During light traffic periods",0,A
CO-018,CO,cellPhone,"How can Colorado drivers avoid penalties for a first-time hands-free violation?","Complete traffic school course for drivers","Show proof of purchasing hands-free accessory","Pay a reduced fine to the court clerk","Promise not to repeat the offense again",1,B
CO-019,CO,duiStateLaws,"What is the legal BAC limit for adult drivers in Colorado?","0.05%","0.10%","0.08%","0.06%",2,C
CO-020,CO,duiStateLaws,"What is the BAC range for a DWAI charge in Colorado?","0.02% to 0.049%","0.08% to 0.10%","0.04% to 0.079%","0.05% to 0.079%",3,D
CO-021,CO,duiStateLaws,"What BAC level triggers Colorado's Persistent Drunk Driver classification on a first offense?","0.15% or higher","0.10% or higher","0.12% or higher","0.20% or higher",0,A
CO-022,CO,duiStateLaws,"What happens if you refuse a BAC test after a DUI arrest in Colorado?","Warning only for first refusal offense today","Automatic license suspension for at least 1 year","Small fine only without other penalties applied","Mandatory court appearance is scheduled for you",1,B
CO-023,CO,duiStateLaws,"What is the BAC limit for underage drivers in Colorado?","0.00% or higher","0.01% or higher","0.02% or higher","0.05% or higher",2,C
CO-024,CO,duiStateLaws,"At what point does a DUI become a felony in Colorado?","Second offense conviction","Third offense conviction","Any DUI causing injury to others","Fourth or subsequent offense",3,D
